('the',) : 188100
('madagascar',) : 201
('continue',) : 201
('providing',) : 201
('connecticut',) : 201
('districts',) : 201
('extremely',) : 200
('play',) : 200
('vapor',) : 200
('vortex',) : 200
('fatalities',) : 200
('1995',) : 200
('silver',) : 200
('centuries',) : 200
('astronauts',) : 200
('class',) : 200
('andrew',) : 200
('jma',) : 200
('railway',) : 200
('fact',) : 199
('fully',) : 199
('performed',) : 199
('rule',) : 199
('decided',) : 199
('signed',) : 198
('always',) : 198
('action',) : 198
('usa',) : 198
('radius',) : 197
('believed',) : 197
('generated',) : 197
('decrease',) : 197
('distinct',) : 197
('1998',) : 197
('cod',) : 197
('command',) : 197
('fleet',) : 197
('met',) : 197
('mayor',) : 197
('spoken',) : 197
('northwestern',) : 196
('1,000',) : 196
('safety',) : 196
('student',) : 196
('evacuate',) : 196
('seas',) : 195
('horizontal',) : 195
('moves',) : 195
('frame',) : 195
('account',) : 195
('tracks',) : 195
('recently',) : 195
('materials',) : 195
('gave',) : 195
('cool',) : 194
('derived',) : 194
('frequently',) : 194
('humid',) : 194
('heavily',) : 194
('born',) : 194
('upper-level',) : 193
('yet',) : 193
('hatteras',) : 193
('32',) : 193
('fog',) : 193
('droplets',) : 193
('computer',) : 192
('rates',) : 192
('chief',) : 192
('cut',) : 192
('starting',) : 192
('southwestern',) : 191
('creating',) : 191
('honduras',) : 191
('latter',) : 191
('typical',) : 191
('gradient',) : 191
('charles',) : 191
('put',) : 191
('median',) : 191
('clear',) : 190
('combination',) : 190
('interaction',) : 190
('oscillation',) : 190
('frequency',) : 190
('ordered',) : 190
('sites',) : 190
('pass',) : 190
('extent',) : 190
('ahead',) : 190
('marked',) : 190
('empire',) : 190
('convention',) : 190
('funding',) : 190
('philadelphia',) : 190
('canal',) : 190
('ultimately',) : 189
('component',) : 189
('depth',) : 189
('historically',) : 189
('widely',) : 189
('listed',) : 189
('dutch',) : 189
('corps',) : 189
('components',) : 188
('come',) : 188
('unique',) : 188
('1999',) : 188
('...',) : 188
('occurring',) : 187
('absorbed',) : 187
('1997',) : 187
('ended',) : 187
('elements',) : 187
('barometric',) : 187
('dead',) : 187
('thomas',) : 187
('charge',) : 187
('hawaiian',) : 187
('depending',) : 186
('subsequent',) : 186
('reduce',) : 186
('veracruz',) : 186
('1980s',) : 186
('operational',) : 186
('esa',) : 186
('literature',) : 186
('commission',) : 186
('shape',) : 185
('advisories',) : 185
('lives',) : 185
('dollars',) : 185
('stars',) : 185
('projects',) : 184
('heating',) : 184
('assigned',) : 184
('masses',) : 184
('creek',) : 184
('1990s',) : 184
('blue',) : 184
('shown',) : 184
('composed',) : 184
('performance',) : 184
('intensification',) : 184
('subject',) : 184
('homeless',) : 184
('interstate',) : 184
('1960s',) : 183
('maintain',) : 183
('zones',) : 183
('classification',) : 183
('properties',) : 183
('words',) : 183
('britain',) : 183
('basins',) : 182
('phenomena',) : 182
('recognized',) : 182
('annually',) : 182
('sciences',) : 182
('director',) : 182
('owned',) : 182
('solid',) : 182
('minister',) : 182
('fronts',) : 182
('robert',) : 182
('legislative',) : 182
('vary',) : 181
('greatly',) : 181
('erie',) : 181
('experiments',) : 181
('acres',) : 181
('hospital',) : 181
('replacement',) : 180
('begins',) : 180
('patterns',) : 180
('takes',) : 180
('involved',) : 180
('david',) : 180
('transferred',) : 180
('parallel',) : 180
('makes',) : 180
('classical',) : 180
('110',) : 180
('roof',) : 180
('tracking',) : 179
('philippine',) : 179
('personal',) : 179
('64',) : 179
('confirmed',) : 179
('identified',) : 179
('contributed',) : 179
('customers',) : 179
('institutions',) : 179
('recovery',) : 179
('particle',) : 179
('afternoon',) : 179
('earliest',) : 179
('troposphere',) : 178
('convergence',) : 178
('bc',) : 178
('bands',) : 178
('astronaut',) : 178
('problem',) : 178
('religion',) : 178
('prevent',) : 177
('begin',) : 177
('ports',) : 177
('arctic',) : 177
('injured',) : 177
('slow',) : 177
('refers',) : 176
('phenomenon',) : 176
('peaking',) : 176
('savannah',) : 176
('elsewhere',) : 176
('serves',) : 176
('transit',) : 176
('immigrants',) : 176
('inner',) : 175
('responsibility',) : 175
('needs',) : 175
('typhon',) : 175
('plains',) : 175
('250',) : 175
('championship',) : 175
('expanded',) : 174
('basic',) : 174
('geography',) : 174
('prediction',) : 174
('greatest',) : 173
('transition',) : 173
('difficult',) : 173
('140',) : 173
('differences',) : 173
('laboratory',) : 173
('skylab',) : 173
('existing',) : 173
('title',) : 173
('broad',) : 172
('issue',) : 172
('featured',) : 172
('mile',) : 172
('staff',) : 172
('immediately',) : 172
('weight',) : 172
('lows',) : 172
('strengthening',) : 172
('labor',) : 172
('measurement',) : 172
('beyond',) : 171
('estimate',) : 171
('planet',) : 171
('domestic',) : 171
('baseball',) : 171
('troops',) : 171
('emerged',) : 171
('outflow',) : 170
('communication',) : 170
('tip',) : 170
('interest',) : 170
('manned',) : 170
('wrote',) : 170
('success',) : 170
('tons',) : 170
('contact',) : 170
('passenger',) : 170
('territories',) : 170
('claimed',) : 170
('headquarters',) : 170
('content',) : 169
('edge',) : 169
('85',) : 169
('48',) : 169
('discovered',) : 169
('100,000',) : 169
('decade',) : 169
('emissions',) : 169
('interior',) : 169
('call',) : 169
('index',) : 169
('populated',) : 168
('dam',) : 168
('ipcc',) : 168
('receive',) : 168
('focus',) : 168
('jurisdiction',) : 168
('sandy',) : 167
('ferry',) : 167
('operating',) : 167
('adopted',) : 167
('roofs',) : 167
('hill',) : 167
('code',) : 167
('ethnic',) : 167
('alexandria',) : 167
('characterized',) : 166
('get',) : 166
('10,000',) : 166
('hurricane-force',) : 166
('advance',) : 166
('cemetery',) : 166
('modules',) : 166
('view',) : 166
('digital',) : 166
('impacted',) : 166
('continues',) : 166
('basketball',) : 166
('allows',) : 165
('experience',) : 165
('rescue',) : 165
('potomac',) : 165
('streets',) : 165
('corporation',) : 165
('methods',) : 165
('prime',) : 165
('wilma',) : 165
('lies',) : 165
('uk',) : 165
('cyclonic',) : 164
('knots',) : 164
('1996',) : 164
('fifth',) : 164
('joined',) : 164
('go',) : 164
('engineers',) : 164
('offers',) : 164
('permanent',) : 164
('regular',) : 164
('gravitational',) : 164
('low-level',) : 163
('metres',) : 163
('taking',) : 163
('mount',) : 163
('give',) : 163
('generation',) : 163
('note',) : 163
('spent',) : 163
('chemical',) : 163
('maritime',) : 163
('colleges',) : 163
('green',) : 163
('aviation',) : 163
('negative',) : 162
('necessary',) : 162
('imagery',) : 162
('forward',) : 162
('approved',) : 162
('agreement',) : 162
('wall',) : 162
('legal',) : 162
('club',) : 162
('flows',) : 161
('brazilian',) : 161
('represented',) : 161
('cantonese',) : 161
('parks',) : 161
('concept',) : 161
('b',) : 161
('paper',) : 161
('populations',) : 160
('delta',) : 160
('1991',) : 160
('map',) : 160
('festival',) : 160
('virgin',) : 160
('assessment',) : 160
('coordinates',) : 160
('runs',) : 159
('1992',) : 159
('sand',) : 159
('hong',) : 159
('vector',) : 159
('maria',) : 159
('representatives',) : 159
('dollar',) : 159
('function',) : 158
('varies',) : 158
('costs',) : 158
('ability',) : 158
('sold',) : 158
('big',) : 158
('boston',) : 158
('catholic',) : 158
('pad',) : 158
('appear',) : 157
('suggested',) : 157
('usage',) : 157
('archipelago',) : 157
('engines',) : 157
('treaty',) : 157
('appears',) : 157
('planets',) : 157
('acceleration',) : 157
('individuals',) : 157
('provinces',) : 157
('highways',) : 157
('newfoundland',) : 157
('style',) : 157
('exchange',) : 156
('eastward',) : 156
('mountainous',) : 156
('frontal',) : 156
('inside',) : 156
('journal',) : 156
('books',) : 156
('nicaragua',) : 156
('boat',) : 156
('sales',) : 156
('400',) : 155
('car',) : 155
('salyut',) : 155
('gravity',) : 155
('insurance',) : 155
('ashore',) : 155
('simply',) : 154
('dense',) : 154
('1970',) : 154
('running',) : 154
('settlers',) : 154
('irma',) : 154
('onto',) : 153
('bring',) : 153
('successfully',) : 153
('airports',) : 153
('crews',) : 153
('sections',) : 153
('kong',) : 153
('maps',) : 153
('households',) : 153
('trend',) : 152
('method',) : 152
('victims',) : 152
('kennedy',) : 152
('leads',) : 151
('protect',) : 151
('occasionally',) : 151
('influenced',) : 151
('toll',) : 151
('practice',) : 151
('prepared',) : 151
('bus',) : 151
('windows',) : 151
('cell',) : 151
('forests',) : 151
('colonies',) : 151
('1990',) : 151
('equation',) : 151
('c',) : 151
('whom',) : 151
('drought',) : 150
('dangerous',) : 150
('hunters',) : 150
('al',) : 150
('saffir–simpson',) : 150
('soil',) : 150
('raised',) : 150
('poles',) : 150
('33',) : 150
('caicos',) : 150
('moist',) : 149
('m/s',) : 149
('large-scale',) : 149
('killing',) : 149
('tourists',) : 149
('intended',) : 149
('failure',) : 149
('require',) : 149
('orbiter',) : 149
('cup',) : 149
('seeding',) : 148
('flying',) : 148
('isolated',) : 148
('scheduled',) : 148
('planning',) : 148
('mixed',) : 148
('signs',) : 148
('unlike',) : 148
('pakistan',) : 148
('story',) : 148
('adjacent',) : 148
('manhattan',) : 148
('taíno',) : 148
('quantity',) : 147
('specifically',) : 147
('ratio',) : 147
('destructive',) : 147
('attributed',) : 147
('reaches',) : 147
('decreased',) : 147
('approached',) : 147
('serving',) : 147
('applications',) : 147
('elevation',) : 147
('jobs',) : 147
('creation',) : 147
('online',) : 147
('database',) : 147
('gives',) : 146
('efficiency',) : 146
('wake',) : 146
('105',) : 146
('increasingly',) : 146
('programme',) : 146
('whole',) : 146
('mark',) : 146
('connected',) : 146
('possibly',) : 146
('supported',) : 146
('cm',) : 146
('village',) : 146
('opposite',) : 145
('shipping',) : 145
('spawned',) : 145
('super',) : 145
('damaging',) : 145
('female',) : 145
('evacuations',) : 145
('astronomy',) : 145
('wing',) : 145
('meters',) : 145
('here',) : 145
('routes',) : 145
('leaders',) : 145
('signal',) : 145
('taxes',) : 145
('charter',) : 145
('parish',) : 145
('cayman',) : 145
('cirrus',) : 144
('affecting',) : 144
('1979',) : 144
('thereafter',) : 144
('effort',) : 144
('going',) : 144
('notably',) : 144
('keys',) : 144
('episode',) : 143
('w.',) : 143
('delivered',) : 143
('share',) : 143
('architecture',) : 143
('angle',) : 143
('sq',) : 143
('actually',) : 143
('del',) : 143
('rita',) : 143
('money',) : 143
('appointed',) : 143
('academy',) : 143
('helms',) : 143
('alternative',) : 142
('humidity',) : 142
('turning',) : 142
('understanding',) : 142
('39',) : 142
('follows',) : 142
('docked',) : 142
('crystals',) : 142
('structural',) : 142
('hundred',) : 142
('approaching',) : 142
('post',) : 142
('helped',) : 142
('n',) : 142
('rican',) : 142
('worked',) : 142
('gold',) : 142
('secretary',) : 142
('aloft',) : 141
('rainbands',) : 141
('factor',) : 141
('mudslides',) : 141
('forecasters',) : 141
('steadily',) : 141
('cars',) : 141
('installed',) : 141
('apollo',) : 141
('unknown',) : 141
('bringing',) : 141
('lee',) : 141
('writing',) : 141
('slave',) : 141
('municipalities',) : 141
('broadcast',) : 141
('terrain',) : 140
('salt',) : 140
('true',) : 140
('rough',) : 140
('visitors',) : 140
('russia',) : 140
('v',) : 140
('roman',) : 140
('hockey',) : 140
('ways',) : 139
('low-lying',) : 139
('poor',) : 139
('115',) : 139
('branches',) : 139
('giving',) : 139
('1988',) : 139
('leader',) : 139
('foundation',) : 139
('1.5',) : 139
('press',) : 139
('officers',) : 139
('grew',) : 139
('fema',) : 139
('care',) : 138
('oxygen',) : 138
('vice',) : 138
('swept',) : 138
('gdp',) : 138
('vcu',) : 138
('statistical',) : 137
('zero',) : 137
('observation',) : 137
('gases',) : 137
('build',) : 137
('our',) : 137
('block',) : 137
('industries',) : 137
('tower',) : 137
('heritage',) : 137
('reserve',) : 137
('carry',) : 136
('stadium',) : 136
('gale',) : 136
('deadliest',) : 136
('greenhouse',) : 136
('arlington',) : 136
('shelter',) : 136
('mid-atlantic',) : 136
('beaches',) : 136
('assist',) : 136
('measures',) : 136
('contain',) : 136
('academic',) : 136
('famous',) : 136
('opening',) : 136
('long-term',) : 135
('18th',) : 135
('providence',) : 135
('deployed',) : 135
('discovery',) : 135
('avoid',) : 135
('showed',) : 135
('ancestry',) : 135
('winters',) : 135
('turks',) : 135
('advisory',) : 135
('condensation',) : 134
('specialized',) : 134
('purposes',) : 134
('fly',) : 134
('typhoons',) : 134
('improved',) : 134
('prominent',) : 134
('critical',) : 134
('pay',) : 134
('fixed',) : 134
('1950s',) : 134
('ago',) : 134
('tide',) : 134
('zealand',) : 134
('briefly',) : 134
('settled',) : 134
('broadcasting',) : 134
('partially',) : 133
('180',) : 133
('otherwise',) : 133
('34',) : 133
('substantial',) : 133
('actual',) : 133
('36',) : 133
('sugar',) : 133
('italian',) : 133
('am',) : 133
('boundaries',) : 133
('martin',) : 133
('campaign',) : 133
('55',) : 133
('forcing',) : 133
('coal',) : 133
('2,000',) : 132
('existence',) : 132
('azores',) : 132
('broke',) : 132
('vessels',) : 132
('ball',) : 132
('reasons',) : 132
('pilot',) : 132
('snowfall',) : 132
('massive',) : 132
('dissipating',) : 132
('meet',) : 132
('franklin',) : 132
('resolution',) : 132
('weaken',) : 131
('0',) : 131
('twice',) : 131
('accurate',) : 131
('paul',) : 131
('henry',) : 131
('seconds',) : 131
('neighboring',) : 131
('renamed',) : 131
('speakers',) : 131
('capable',) : 130
('farther',) : 130
('poleward',) : 130
('salinity',) : 130
('images',) : 130
('god',) : 130
('1975',) : 130
('1994',) : 130
('jefferson',) : 130
('funds',) : 130
('advanced',) : 130
('tradition',) : 130
('1985',) : 130
('kilometers',) : 130
('-',) : 130
('separated',) : 129
('niña',) : 129
('houston',) : 129
('search',) : 129
('operate',) : 129
('newly',) : 129
('evening',) : 129
('descent',) : 129
('defeated',) : 129
('tour',) : 129
('circular',) : 128
('mechanical',) : 128
('net',) : 128
('describe',) : 128
('1993',) : 128
('lawrence',) : 128
('upward',) : 128
('climates',) : 128
('achieved',) : 128
('output',) : 128
('t',) : 128
('residential',) : 128
('newton',) : 128
('theatre',) : 128
('i.e',) : 127
('magnitude',) : 127
('sign',) : 127
('astronomical',) : 127
('flown',) : 127
('myrtle',) : 127
('frequent',) : 127
('attempt',) : 127
('sides',) : 127
('authorities',) : 127
('review',) : 127
('letters',) : 127
('remnant',) : 126
('ike',) : 126
('refer',) : 126
('trains',) : 126
('offer',) : 126
('cells',) : 126
('streams',) : 126
('1971',) : 126
('situation',) : 126
('expressed',) : 126
('capita',) : 126
('pressures',) : 125
('indicate',) : 125
('cyclogenesis',) : 125
('doppler',) : 125
('limit',) : 125
('sport',) : 125
('inlet',) : 125
('appeared',) : 125
('canceled',) : 125
('1972',) : 125
('tidal',) : 125
('neighborhoods',) : 125
('conservation',) : 124
('enthalpy',) : 124
('equatorial',) : 124
('selected',) : 124
('techniques',) : 124
('break',) : 124
('14c',) : 124
('grid',) : 124
('launches',) : 124
('closely',) : 124
('comes',) : 124
('modified',) : 124
('hold',) : 124
('produces',) : 124
('technique',) : 124
('hence',) : 124
('variation',) : 124
('christian',) : 124
('varieties',) : 124
('rose',) : 124
('manufacturing',) : 124
('hispaniola',) : 124
('instability',) : 123
('ivan',) : 123
('longest',) : 123
('coverage',) : 123
('appearance',) : 123
('flew',) : 123
('coming',) : 123
('panel',) : 123
('sample',) : 123
('gained',) : 123
('continuing',) : 123
('lived',) : 123
('london',) : 123
('settlements',) : 123
('politics',) : 123
('affairs',) : 123
('bob',) : 123
('torrential',) : 122
('reason',) : 122
('kn',) : 122
('formal',) : 122
('entirely',) : 122
('diverse',) : 122
('star',) : 122
('stationary',) : 122
('relations',) : 122
('situated',) : 122
('technical',) : 122
('offered',) : 122
('internet',) : 122
('armed',) : 122
('present-day',) : 122
('ace',) : 122
('missing',) : 122
('vast',) : 121
('extends',) : 121
('converted',) : 121
('humans',) : 121
('losing',) : 121
('passengers',) : 121
('commander',) : 121
('find',) : 121
('distributed',) : 121
('keep',) : 121
('considerable',) : 121
('goal',) : 121
('1954',) : 121
('prince',) : 121
('dominica',) : 121
('immigration',) : 121
('passes',) : 120
('concentrated',) : 120
('1900',) : 120
('dominion',) : 120
('injuries',) : 120
('comma',) : 120
('figure',) : 120
('projected',) : 120
('effective',) : 120
('haitian',) : 120
('hand',) : 119
('pagasa',) : 119
('excess',) : 119
('37',) : 119
('remote',) : 119
('restored',) : 119
('channels',) : 119
('mechanics',) : 119
('directed',) : 119
('e.g',) : 119
('instance',) : 119
('luis',) : 119
('1969',) : 119
('poverty',) : 119
('judicial',) : 119
('ncaa',) : 119
('equilibrium',) : 118
('represents',) : 118
('relationship',) : 118
('table',) : 118
('standards',) : 118
('researchers',) : 118
('medicine',) : 118
